x,y
77.40,43.89
85.86,69.74
9.42,97.56
76.11,78.61
12.81,45.04
37.08,92.68
64.39,82.28
44.34,22.72
55.46,6.38
82.76,63.17
75.81,35.45
97.07,89.31
77.84,19.46
46.67,4.38
15.43,68.30
74.48,96.75
32.58,37.05
46.96,18.95
12.99,47.57
22.69,66.98
43.72,83.27
70.03,31.24
83.23,80.48
38.75,28.83
68.25,13.98
19.99,0.74
78.69,66.49
70.52,78.07
45.89,56.87
13.98,11.45
66.84,47.11
56.52,76.50
63.47,55.36
55.92,30.40
3.08,43.67
21.46,40.85
85.34,23.39
5.83,28.14
29.36,66.19
55.70,78.39
66.43,40.64
81.40,16.70
2.27,9.00
72.24,46.19
16.13,50.10
15.23,69.63
44.62,38.10
30.15,63.03
36.18,8.76
11.80,96.19
